Location,Staff Quarter,Table Name,24X7Security,AC,Area,ATM,BED,Cafeteria,Car Parking,Children'splayarea,Club House,Dining Table,Gasconnection,Golf Course,Gymnasium,Hospital,Indoor Games,Intercom,Jogging Track,Landscaped Gardens,Lift Available,Maintenance Staff,Microwave,Multipurpose Room,No. of Bedrooms,Power Backup,Price,Rain Water Harvesting,Refrigerator,Resale,School,Shopping Mall,Sofa,Sports Facility,Swimming Pool,TV,Vaastu Compliant,Wardrobe,Washing Machine,Wifi
Malad East,9,Mumbai.csv,9,9,700,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,20200000,9,9,1,9,9,9,9,9,9,9,9,9,9
Goregaon East,9,Mumbai.csv,9,9,1190,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,16000000,9,9,1,9,9,9,9,9,9,9,9,9,9
Andheri West,9,Mumbai.csv,9,9,800,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,17000000,9,9,1,9,9,9,9,9,9,9,9,9,9
Kandivali West,9,Mumbai.csv,9,9,830,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,25500000,9,9,1,9,9,9,9,9,9,9,9,9,9
Prabhadevi,9,Mumbai.csv,9,9,800,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,55000000,9,9,1,9,9,9,9,9,9,9,9,9,9
Malabar Hill,9,Mumbai.csv,9,9,1030,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,41000000,9,9,0,9,9,9,9,9,9,9,9,9,9
Goregaon East,9,Mumbai.csv,9,9,1862,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,17000000,9,9,1,9,9,9,9,9,9,9,9,9,9
Chembur,9,Mumbai.csv,9,9,1050,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,58000000,9,9,0,9,9,9,9,9,9,9,9,9,9
Goregaon East,9,Mumbai.csv,9,9,3000,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,5,9,12800000,9,9,1,9,9,9,9,9,9,9,9,9,9
Chembur,9,Mumbai.csv,9,9,950,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,30000000,9,9,1,9,9,9,9,9,9,9,9,9,9
Andheri West,9,Mumbai.csv,9,9,1792,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,22500000,9,9,1,9,9,9,9,9,9,9,9,9,9
Goregaon East,9,Mumbai.csv,9,9,1330,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,10000000,9,9,1,9,9,9,9,9,9,9,9,9,9
Goregaon East,9,Mumbai.csv,9,9,600,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,13500000,9,9,1,9,9,9,9,9,9,9,9,9,9
Goregaon East,9,Mumbai.csv,9,9,970,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,31000000,9,9,1,9,9,9,9,9,9,9,9,9,9
Goregaon East,9,Mumbai.csv,9,9,1456,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,37000000,9,9,1,9,9,9,9,9,9,9,9,9,9
Malad East,9,Mumbai.csv,9,9,2310,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,16000000,9,9,1,9,9,9,9,9,9,9,9,9,9
Andheri East,9,Mumbai.csv,9,9,900,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,18000000,9,9,1,9,9,9,9,9,9,9,9,9,9
Goregaon East,9,Mumbai.csv,9,9,1050,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,18000000,9,9,1,9,9,9,9,9,9,9,9,9,9
Malad East,9,Mumbai.csv,9,9,1155,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,13500000,9,9,1,9,9,9,9,9,9,9,9,9,9
Borivali West,9,Mumbai.csv,9,9,742,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,20000000,9,9,1,9,9,9,9,9,9,9,9,9,9
Ambivali,9,Mumbai.csv,9,9,1095,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,35000000,9,9,1,9,9,9,9,9,9,9,9,9,9
Malad East,9,Mumbai.csv,9,9,2310,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,22000000,9,9,1,9,9,9,9,9,9,9,9,9,9
Goregaon East,9,Mumbai.csv,9,9,1290,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,11500000,9,9,1,9,9,9,9,9,9,9,9,9,9
Malad East,9,Mumbai.csv,9,9,630,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,14500000,9,9,1,9,9,9,9,9,9,9,9,9,9
Malad West,9,Mumbai.csv,9,9,1125,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,38500000,9,9,1,9,9,9,9,9,9,9,9,9,9
Goregaon East,9,Mumbai.csv,9,9,1660,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,9,22500000,9,9,1,9,9,9,9,9,9,9,9,9,9
Goregaon East,9,Mumbai.csv,9,9,1290,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,13000000,9,9,1,9,9,9,9,9,9,9,9,9,9
Dahisar,9,Mumbai.csv,9,9,850,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,16500000,9,9,1,9,9,9,9,9,9,9,9,9,9
Borivali West,9,Mumbai.csv,9,9,756,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,28500000,9,9,0,9,9,9,9,9,9,9,9,9,9
Goregaon West,9,Mumbai.csv,9,9,1485,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,19500000,9,9,0,9,9,9,9,9,9,9,9,9,9
Goregaon West,9,Mumbai.csv,9,9,1150,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,2700000,9,9,0,9,9,9,9,9,9,9,9,9,9
Nalasopara East,9,Mumbai.csv,9,9,580,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,74500000,9,9,1,9,9,9,9,9,9,9,9,9,9
Worli,9,Mumbai.csv,9,9,3582,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,71500000,9,9,0,9,9,9,9,9,9,9,9,9,9
Worli,9,Mumbai.csv,9,9,3182,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,3500000,9,9,0,9,9,9,9,9,9,9,9,9,9
Ulwe,9,Mumbai.csv,9,9,650,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,23500000,9,9,1,9,9,9,9,9,9,9,9,9,9
Borivali West,9,Mumbai.csv,9,9,1100,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,28500000,9,9,1,9,9,9,9,9,9,9,9,9,9
Goregaon West,9,Mumbai.csv,9,9,1485,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,19500000,9,9,0,9,9,9,9,9,9,9,9,9,9
Goregaon West,9,Mumbai.csv,9,9,1150,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,2800000,9,9,0,9,9,9,9,9,9,9,9,9,9
Ambernath East,9,Mumbai.csv,9,9,690,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,3300000,9,9,0,9,9,9,9,9,9,9,9,9,9
Nala Sopara,9,Mumbai.csv,9,9,665,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,3300000,9,9,1,9,9,9,9,9,9,9,9,9,9
Nala Sopara,9,Mumbai.csv,9,9,665,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,4000000,9,9,1,9,9,9,9,9,9,9,9,9,9
Ulwe,9,Mumbai.csv,9,9,650,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,5250000,9,9,1,9,9,9,9,9,9,9,9,9,9
Ulwe,9,Mumbai.csv,9,9,650,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,3951000,9,9,1,9,9,9,9,9,9,9,9,9,9
Uran,9,Mumbai.csv,9,9,650,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,7500000,9,9,1,9,9,9,9,9,9,9,9,9,9
Ulwe,9,Mumbai.csv,9,9,1150,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,4500000,9,9,1,9,9,9,9,9,9,9,9,9,9
Ulwe,9,Mumbai.csv,9,9,680,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,4500000,9,9,1,9,9,9,9,9,9,9,9,9,9
Ulwe,9,Mumbai.csv,9,9,680,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,4151000,9,9,1,9,9,9,9,9,9,9,9,9,9
Ulwe,9,Mumbai.csv,9,9,650,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,4151000,9,9,1,9,9,9,9,9,9,9,9,9,9
Ulwe,9,Mumbai.csv,9,9,650,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,3500000,9,9,1,9,9,9,9,9,9,9,9,9,9
Ulwe,9,Mumbai.csv,9,9,650,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,3500000,9,9,1,9,9,9,9,9,9,9,9,9,9
Ulwe,9,Mumbai.csv,9,9,650,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,2899000,9,9,1,9,9,9,9,9,9,9,9,9,9
Ulwe,9,Mumbai.csv,9,9,450,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,5999000,9,9,1,9,9,9,9,9,9,9,9,9,9
Thane West,9,Mumbai.csv,9,9,945,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,5699000,9,9,1,9,9,9,9,9,9,9,9,9,9
Thane West,9,Mumbai.csv,9,9,905,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,4099000,9,9,1,9,9,9,9,9,9,9,9,9,9
Thane West,9,Mumbai.csv,9,9,588,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,6500000,9,9,1,9,9,9,9,9,9,9,9,9,9
Thane West,9,Mumbai.csv,9,9,902,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,5499000,9,9,1,9,9,9,9,9,9,9,9,9,9
Thane West,9,Mumbai.csv,9,9,902,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,4099000,9,9,1,9,9,9,9,9,9,9,9,9,9
Thane West,9,Mumbai.csv,9,9,590,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,21000000,9,9,1,9,9,9,9,9,9,9,9,9,9
Powai,9,Mumbai.csv,9,9,910,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,5299000,9,9,1,9,9,9,9,9,9,9,9,9,9
Thane West,9,Mumbai.csv,9,9,905,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,4399000,9,9,1,9,9,9,9,9,9,9,9,9,9
Thane West,9,Mumbai.csv,9,9,615,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,5599000,9,9,1,9,9,9,9,9,9,9,9,9,9
Thane West,9,Mumbai.csv,9,9,905,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,5990000,9,9,1,9,9,9,9,9,9,9,9,9,9
Thane West,9,Mumbai.csv,9,9,905,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,5299000,9,9,1,9,9,9,9,9,9,9,9,9,9
Thane West,9,Mumbai.csv,9,9,645,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9000000,9,9,1,9,9,9,9,9,9,9,9,9,9
Mulund West,9,Mumbai.csv,9,9,720,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9750000,9,9,1,9,9,9,9,9,9,9,9,9,9
Borivali West,9,Mumbai.csv,9,9,630,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,27500000,9,9,1,9,9,9,9,9,9,9,9,9,9
Borivali West,9,Mumbai.csv,9,9,1500,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,9500000,9,9,0,9,9,9,9,9,9,9,9,9,9
Borivali West,9,Mumbai.csv,9,9,650,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,14500000,9,9,1,9,9,9,9,9,9,9,9,9,9
Dahisar,9,Mumbai.csv,9,9,890,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,7000000,9,9,1,9,9,9,9,9,9,9,9,9,9
Dahisar West,9,Mumbai.csv,9,9,410,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9000000,9,9,1,9,9,9,9,9,9,9,9,9,9
Dahisar West,9,Mumbai.csv,9,9,585,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,10000000,9,9,1,9,9,9,9,9,9,9,9,9,9
Dahisar West,9,Mumbai.csv,9,9,610,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,8000000,9,9,1,9,9,9,9,9,9,9,9,9,9
Dahisar East,9,Mumbai.csv,9,9,580,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,14500000,9,9,1,9,9,9,9,9,9,9,9,9,9
Dahisar,9,Mumbai.csv,9,9,820,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9800000,9,9,1,9,9,9,9,9,9,9,9,9,9
Dahisar,9,Mumbai.csv,9,9,595,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,10000000,9,9,1,9,9,9,9,9,9,9,9,9,9
Dahisar West,9,Mumbai.csv,9,9,610,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,15000000,9,9,1,9,9,9,9,9,9,9,9,9,9
Dahisar East,9,Mumbai.csv,9,9,1020,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,22000000,9,9,1,9,9,9,9,9,9,9,9,9,9
Kandivali West,9,Mumbai.csv,9,9,1614,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,8500000,9,9,0,9,9,9,9,9,9,9,9,9,9
Dahisar East,9,Mumbai.csv,9,9,580,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,2200000,9,9,1,9,9,9,9,9,9,9,9,9,9
Vasai West,9,Mumbai.csv,9,9,500,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,4550000,9,9,1,9,9,9,9,9,9,9,9,9,9
Vijay Nagar,9,Mumbai.csv,9,9,860,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,19800000,9,9,0,9,9,9,9,9,9,9,9,9,9
Powai,9,Mumbai.csv,9,9,1130,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,8500000,9,9,1,9,9,9,9,9,9,9,9,9,9
Jogeshwari West,9,Mumbai.csv,9,9,500,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,19500000,9,9,0,9,9,9,9,9,9,9,9,9,9
Goregaon West,9,Mumbai.csv,9,9,1150,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,2800000,9,9,0,9,9,9,9,9,9,9,9,9,9
Ambernath East,9,Mumbai.csv,9,9,690,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,16500000,9,9,0,9,9,9,9,9,9,9,9,9,9
Borivali West,9,Mumbai.csv,9,9,756,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,28500000,9,9,0,9,9,9,9,9,9,9,9,9,9
Goregaon West,9,Mumbai.csv,9,9,1485,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,9750000,9,9,0,9,9,9,9,9,9,9,9,9,9
Borivali West,9,Mumbai.csv,9,9,630,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,27500000,9,9,1,9,9,9,9,9,9,9,9,9,9
Borivali West,9,Mumbai.csv,9,9,1500,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,23500000,9,9,0,9,9,9,9,9,9,9,9,9,9
Borivali West,9,Mumbai.csv,9,9,1100,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,8500000,9,9,1,9,9,9,9,9,9,9,9,9,9
Dahisar East,9,Mumbai.csv,9,9,580,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,8600000,9,9,0,9,9,9,9,9,9,9,9,9,9
Dahisar East,9,Mumbai.csv,9,9,590,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,11500000,9,9,1,9,9,9,9,9,9,9,9,9,9
Borivali West,9,Mumbai.csv,9,9,650,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,12000000,9,9,1,9,9,9,9,9,9,9,9,9,9
Dahisar East,9,Mumbai.csv,9,9,785,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,14200000,9,9,0,9,9,9,9,9,9,9,9,9,9
Dahisar,9,Mumbai.csv,9,9,780,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,14500000,9,9,1,9,9,9,9,9,9,9,9,9,9
Borivali West,9,Mumbai.csv,9,9,710,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,16000000,9,9,1,9,9,9,9,9,9,9,9,9,9
Dahisar,9,Mumbai.csv,9,9,1044,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,9500000,9,9,1,9,9,9,9,9,9,9,9,9,9
Borivali West,9,Mumbai.csv,9,9,650,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,14500000,9,9,1,9,9,9,9,9,9,9,9,9,9
Dahisar,9,Mumbai.csv,9,9,890,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,7000000,9,9,1,9,9,9,9,9,9,9,9,9,9
Dahisar West,9,Mumbai.csv,9,9,410,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9000000,9,9,1,9,9,9,9,9,9,9,9,9,9
Dahisar West,9,Mumbai.csv,9,9,585,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,10000000,9,9,1,9,9,9,9,9,9,9,9,9,9
Dahisar West,9,Mumbai.csv,9,9,610,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,8000000,9,9,1,9,9,9,9,9,9,9,9,9,9
Dahisar East,9,Mumbai.csv,9,9,580,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,14500000,9,9,1,9,9,9,9,9,9,9,9,9,9
Dahisar,9,Mumbai.csv,9,9,820,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,9800000,9,9,1,9,9,9,9,9,9,9,9,9,9
Dahisar,9,Mumbai.csv,9,9,595,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,10000000,9,9,1,9,9,9,9,9,9,9,9,9,9
Dahisar West,9,Mumbai.csv,9,9,610,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,15000000,9,9,1,9,9,9,9,9,9,9,9,9,9
Dahisar East,9,Mumbai.csv,9,9,1020,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,8000000,9,9,1,9,9,9,9,9,9,9,9,9,9
Mira Road East,9,Mumbai.csv,9,9,1100,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,34000000,9,9,1,9,9,9,9,9,9,9,9,9,9
Kandivali West,9,Mumbai.csv,9,9,1555,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,22500000,9,9,1,9,9,9,9,9,9,9,9,9,9
Borivali West,9,Mumbai.csv,9,9,1700,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,9000000,9,9,1,9,9,9,9,9,9,9,9,9,9
Borivali West,9,Mumbai.csv,9,9,650,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,6500000,9,9,1,9,9,9,9,9,9,9,9,9,9
Borivali West,9,Mumbai.csv,9,9,400,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,5325000,9,9,1,9,9,9,9,9,9,9,9,9,9
Borivali West,9,Mumbai.csv,9,9,325,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9500000,9,9,1,9,9,9,9,9,9,9,9,9,9
Borivali West,9,Mumbai.csv,9,9,635,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,15000000,9,9,1,9,9,9,9,9,9,9,9,9,9
Mulund West,9,Mumbai.csv,9,9,950,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,8700000,9,9,1,9,9,9,9,9,9,9,9,9,9
Thane West,9,Mumbai.csv,9,9,705,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,3049000,9,9,1,9,9,9,9,9,9,9,9,9,9
Palghar,9,Mumbai.csv,9,9,569,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,2099000,9,9,0,9,9,9,9,9,9,9,9,9,9
Palghar,9,Mumbai.csv,9,9,387,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,3500000,9,9,0,9,9,9,9,9,9,9,9,9,9
Palghar,9,Mumbai.csv,9,9,646,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,4499000,9,9,0,9,9,9,9,9,9,9,9,9,9
Virar,9,Mumbai.csv,9,9,518,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,3372000,9,9,0,9,9,9,9,9,9,9,9,9,9
Virar,9,Mumbai.csv,9,9,412,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,3446000,9,9,0,9,9,9,9,9,9,9,9,9,9
Virar,9,Mumbai.csv,9,9,426,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,4656000,9,9,0,9,9,9,9,9,9,9,9,9,9
Virar,9,Mumbai.csv,9,9,536,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,5499000,9,9,0,9,9,9,9,9,9,9,9,9,9
Virar,9,Mumbai.csv,9,9,579,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,4621000,9,9,0,9,9,9,9,9,9,9,9,9,9
Virar,9,Mumbai.csv,9,9,532,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,3500000,9,9,0,9,9,9,9,9,9,9,9,9,9
Virar,9,Mumbai.csv,9,9,433,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,13500000,9,9,0,9,9,9,9,9,9,9,9,9,9
Borivali West,9,Mumbai.csv,9,9,900,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,18500000,9,9,1,9,9,9,9,9,9,9,9,9,9
Chembur,9,Mumbai.csv,9,9,1285,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,17500000,9,9,1,9,9,9,9,9,9,9,9,9,9
Chembur,9,Mumbai.csv,9,9,1500,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,16500000,9,9,1,9,9,9,9,9,9,9,9,9,9
Chembur,9,Mumbai.csv,9,9,1050,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,11800000,9,9,1,9,9,9,9,9,9,9,9,9,9
Koper Khairane,9,Mumbai.csv,9,9,1080,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,7000000,9,9,1,9,9,9,9,9,9,9,9,9,9
Koper Khairane,9,Mumbai.csv,9,9,650,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,7000000,9,9,1,9,9,9,9,9,9,9,9,9,9
Koper Khairane,9,Mumbai.csv,9,9,650,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,42500000,9,9,1,9,9,9,9,9,9,9,9,9,9
Borivali West,9,Mumbai.csv,9,9,2400,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,7100000,9,9,1,9,9,9,9,9,9,9,9,9,9
Greater Khanda,9,Mumbai.csv,9,9,950,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,7800000,9,9,1,9,9,9,9,9,9,9,9,9,9
Greater Khanda,9,Mumbai.csv,9,9,950,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,17000000,9,9,1,9,9,9,9,9,9,9,9,9,9
Chedda Nagar,9,Mumbai.csv,9,9,775,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,2400000,9,9,0,9,9,9,9,9,9,9,9,9,9
Nala Sopara,9,Mumbai.csv,9,9,585,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,2400000,9,9,1,9,9,9,9,9,9,9,9,9,9
Nala Sopara,9,Mumbai.csv,9,9,585,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,71500000,9,9,1,9,9,9,9,9,9,9,9,9,9
Khar West,9,Mumbai.csv,9,9,1600,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,9,15000000,9,9,1,9,9,9,9,9,9,9,9,9,9
Sion,9,Mumbai.csv,9,9,880,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,13700000,9,9,1,9,9,9,9,9,9,9,9,9,9
Borivali West,9,Mumbai.csv,9,9,697,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,8800000,9,9,0,9,9,9,9,9,9,9,9,9,9
Thane West,9,Mumbai.csv,9,9,1100,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,22500000,9,9,1,9,9,9,9,9,9,9,9,9,9
Borivali West,9,Mumbai.csv,9,9,935,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,9,14500000,9,9,0,9,9,9,9,9,9,9,9,9,9
